Department,Role,Names,URL
Production,Brand,Hyundai,
Production,Client,"Violoop, VeryBig",
Production,Director,"Paul Moore, Moore Paul",
Production,Creative Director,Ray Lavers,
Production,EP,Alexis Odiowei,
Production,Runner,"Alex Chen, Blake Nguyen",
Production,Soundman,Vo Thieu Hung,
Production,Boom Operator,Sean Lee,
Production,Agency Producer,Kimmy Nguyen,
Production,Director Assistant,James Duong,
Production,Medic On-set,Shelley McMorrow,
Camera,DP,Kelvin Chew,
Camera,DoP,Davide Pini,
Camera,Camera Assistants,"Cyrel de los Reyes, Andrew Pigott",
Camera,Live-Stream Technician,Yulia Bulashenko,
G&E,Spark,"Huynh Trong Nghia, Yerlan Tanayev",
G&E,Grip & Lighting,Trinix Creative Studio,
G&E,Best Boy Electric,Benjamin Villataspaisarn,
Art,Wardrobe Assistant,Jean Phan,
Art,HMU,"Kelly Hoang, Andy Chang",
Post,Online Editor,SPICE fx,
Post,VFX,"Aurae Studios, Spice FX",
Post,Sound Engineer,"Two AM Music, Tran Dang Khoa",
Post,Post Producer,Tuan Chu,
Post,GFX,Nguyen Minh Duc,
Post,Graphic Design,Mai Tan Sang,
Post,Motion Graphic Artist,Pham Ha,
Post,Post PA,Cao Minh Phuong,
Post,Post House,Bonjour Saigon,
Production,Sound Engineer,Phuc Tran,
Casting,Talent,"An Hoang, Viet Anh Nguyen",
