type	title	slug	slugZh	en_path	zh_path	flags	en_url	zh_url
page	About	about	关于	/about	/zh/关于		https://vantage.pictures/about	https://vantage.pictures/zh/关于
page	Contact	contact	联系	/contact	/zh/联系		https://vantage.pictures/contact	https://vantage.pictures/zh/联系
page	Home	home	zh	/	/zh/		https://vantage.pictures/	https://vantage.pictures/zh/
page	News	news	新闻	/news	/zh/新闻		https://vantage.pictures/news	https://vantage.pictures/zh/新闻
page	Video Campaign Brief	video-campaign-brief	视频活动简介	/video-campaign-brief	/zh/视频活动简介		https://vantage.pictures/video-campaign-brief	https://vantage.pictures/zh/视频活动简介
page	Vietnam Location Guidebook	vietnam-location-guide	越南旅游指南	/vietnam-location-guide	/zh/越南旅游指南		https://vantage.pictures/vietnam-location-guide	https://vantage.pictures/zh/越南旅游指南
page	Vietnam Production Service	vietnam-production-service	越南生产服务	/vietnam-production-service	/zh/越南生产服务		https://vantage.pictures/vietnam-production-service	https://vantage.pictures/zh/越南生产服务
page	Work	work	工作	/work	/zh/工作		https://vantage.pictures/work	https://vantage.pictures/zh/工作
page	Work (Internal)	work-internal	work-internal	/work-internal	/zh/work-internal	noIndex	https://vantage.pictures/work-internal	https://vantage.pictures/zh/work-internal
portfolioEntry	Aquafina – Sải Bước Cộng Đồng Sóng Xanh	aquafina	爱泉	/portfolio/aquafina	/zh/投资组合/爱泉		https://vantage.pictures/portfolio/aquafina	https://vantage.pictures/zh/投资组合/爱泉
portfolioEntry	ASICS – DYNABLAST	asics-dynablast	亚瑟士-dynablast	/portfolio/asics-dynablast	/zh/投资组合/亚瑟士-dynablast		https://vantage.pictures/portfolio/asics-dynablast	https://vantage.pictures/zh/投资组合/亚瑟士-dynablast
portfolioEntry	ASMOKE Essential – Grill Like a Pro Anywhere	asmoke-essential-grill-like-a-pro-anywhere	asmoke-essential-随时随地像专业人士一样烧烤	/portfolio/asmoke-essential-grill-like-a-pro-anywhere	/zh/投资组合/asmoke-essential-随时随地像专业人士一样烧烤		https://vantage.pictures/portfolio/asmoke-essential-grill-like-a-pro-anywhere	https://vantage.pictures/zh/投资组合/asmoke-essential-随时随地像专业人士一样烧烤
portfolioEntry	ASUS Education – A Day in the Life	asus-education-a-day-in-the-life	华硕教育-一天的生活	/portfolio/asus-education-a-day-in-the-life	/zh/投资组合/华硕教育-一天的生活		https://vantage.pictures/portfolio/asus-education-a-day-in-the-life	https://vantage.pictures/zh/投资组合/华硕教育-一天的生活
portfolioEntry	ASUS – Upgrade to Incredible	asus-upgrade-to-incredible	华硕升级到难以置信	/portfolio/asus-upgrade-to-incredible	/zh/投资组合/华硕升级到难以置信		https://vantage.pictures/portfolio/asus-upgrade-to-incredible	https://vantage.pictures/zh/投资组合/华硕升级到难以置信
portfolioEntry	Bambu Lab H2D – Your Personal Manufacturing Hub	bambu-lab-h2d-your-personal-manufacturing-hub	拓竹-h2d-您的个人制造中心	/portfolio/bambu-lab-h2d-your-personal-manufacturing-hub	/zh/投资组合/拓竹-h2d-您的个人制造中心		https://vantage.pictures/portfolio/bambu-lab-h2d-your-personal-manufacturing-hub	https://vantage.pictures/zh/投资组合/拓竹-h2d-您的个人制造中心
portfolioEntry	Bambu Lab – Vortek Hotend Change System	bambu-lab-vortek	bambu-lab-vortek-热端更换系统	/portfolio/bambu-lab-vortek	/zh/投资组合/bambu-lab-vortek-热端更换系统		https://vantage.pictures/portfolio/bambu-lab-vortek	https://vantage.pictures/zh/投资组合/bambu-lab-vortek-热端更换系统
